_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5bc93121f9af8b0dc677cf5a,0039,"Tue, 07 Aug 2018 01:17:47 GMT","Tue, 07 Aug 2018 02:35:22 GMT","Tue, 07 Aug 2018 02:21:22 GMT",6.091,2_39_124_22_2018-08-07 01:17:47.385587,0002,CA-312,2-39-124-22,America/Los_Angeles,,
5bc93121f9af8b0dc677cf5b,0039,"Tue, 07 Aug 2018 01:20:26 GMT","Tue, 07 Aug 2018 04:38:43 GMT","Tue, 07 Aug 2018 03:50:47 GMT",14.009,2_39_95_27_2018-08-07 01:20:25.908900,0002,CA-319,2-39-95-27,America/Los_Angeles,,
5bc93121f9af8b0dc677cf5c,0039,"Tue, 07 Aug 2018 01:31:43 GMT","Tue, 07 Aug 2018 03:38:48 GMT","Tue, 07 Aug 2018 03:38:43 GMT",13.373,2_39_131_30_2018-08-07 01:31:42.839437,0002,CA-305,2-39-131-30,America/Los_Angeles,,
5bc93121f9af8b0dc677cf5d,0039,"Tue, 07 Aug 2018 01:48:54 GMT","Tue, 07 Aug 2018 02:25:26 GMT","Tue, 07 Aug 2018 02:25:17 GMT",3.871,2_39_123_23_2018-08-07 01:48:54.523299,0002,CA-313,2-39-123-23,America/Los_Angeles,,
5bc93121f9af8b0dc677cf5e,0039,"Tue, 07 Aug 2018 02:10:22 GMT","Tue, 07 Aug 2018 02:19:22 GMT","Tue, 07 Aug 2018 02:19:18 GMT",0.943,2_39_127_19_2018-08-07 02:10:21.790933,0002,CA-309,2-39-127-19,America/Los_Angeles,,
5bc93121f9af8b0dc677cf5f,0039,"Tue, 07 Aug 2018 02:34:05 GMT","Tue, 07 Aug 2018 03:28:47 GMT","Tue, 07 Aug 2018 03:28:43 GMT",1.951,2_39_139_28_2018-08-07 02:34:04.545778,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc93121f9af8b0dc677cf60,0039,"Tue, 07 Aug 2018 02:39:17 GMT","Tue, 07 Aug 2018 04:37:35 GMT","Tue, 07 Aug 2018 04:36:47 GMT",12.352,2_39_123_23_2018-08-07 02:39:17.017911,0002,CA-313,2-39-123-23,America/Los_Angeles,,
5bc93121f9af8b0dc677cf61,0039,"Tue, 07 Aug 2018 02:41:43 GMT","Tue, 07 Aug 2018 03:49:05 GMT","Tue, 07 Aug 2018 03:48:53 GMT",6.155,2_39_78_365_2018-08-07 02:41:42.839145,0002,CA-321,2-39-78-365,America/Los_Angeles,,
5bc93121f9af8b0dc677cf62,0039,"Tue, 07 Aug 2018 02:42:26 GMT","Tue, 07 Aug 2018 06:08:12 GMT","Tue, 07 Aug 2018 04:40:08 GMT",6.031,2_39_138_29_2018-08-07 02:42:25.916631,0002,CA-304,2-39-138-29,America/Los_Angeles,,
5bc93121f9af8b0dc677cf63,0039,"Tue, 07 Aug 2018 03:06:00 GMT","Tue, 07 Aug 2018 13:41:50 GMT","Tue, 07 Aug 2018 05:43:06 GMT",13.889,2_39_127_19_2018-08-07 03:06:00.220262,0002,CA-309,2-39-127-19,America/Los_Angeles,,
5bc93121f9af8b0dc677cf64,0039,"Tue, 07 Aug 2018 03:06:28 GMT","Tue, 07 Aug 2018 18:30:23 GMT","Tue, 07 Aug 2018 03:33:23 GMT",2.286,2_39_78_367_2018-08-07 03:06:28.210383,0002,CA-494,2-39-78-367,America/Los_Angeles,,
5bc93121f9af8b0dc677cf65,0039,"Tue, 07 Aug 2018 03:19:19 GMT","Tue, 07 Aug 2018 15:24:56 GMT","Tue, 07 Aug 2018 08:07:16 GMT",13.199,2_39_78_360_2018-08-07 03:19:19.113751,0002,CA-322,2-39-78-360,America/Los_Angeles,,
5bc93121f9af8b0dc677cf66,0039,"Tue, 07 Aug 2018 03:38:49 GMT","Tue, 07 Aug 2018 04:50:36 GMT","Tue, 07 Aug 2018 04:50:27 GMT",7.685,2_39_129_17_2018-08-07 03:38:48.924410,0002,CA-307,2-39-129-17,America/Los_Angeles,,
5bc93121f9af8b0dc677cf67,0039,"Tue, 07 Aug 2018 03:49:55 GMT","Tue, 07 Aug 2018 15:35:57 GMT","Tue, 07 Aug 2018 05:55:52 GMT",6.823,2_39_79_379_2018-08-07 03:49:54.631739,0002,CA-327,2-39-79-379,America/Los_Angeles,,
5bc93121f9af8b0dc677cf68,0039,"Tue, 07 Aug 2018 03:59:24 GMT","Tue, 07 Aug 2018 06:08:27 GMT","Tue, 07 Aug 2018 06:08:22 GMT",12.627,2_39_91_437_2018-08-07 03:59:24.261173,0002,CA-317,2-39-91-437,America/Los_Angeles,,
5bc93121f9af8b0dc677cf69,0039,"Tue, 07 Aug 2018 04:05:37 GMT","Tue, 07 Aug 2018 04:49:10 GMT","Tue, 07 Aug 2018 04:49:05 GMT",4.562,2_39_89_25_2018-08-07 04:05:36.782972,0002,CA-315,2-39-89-25,America/Los_Angeles,,
5bc93121f9af8b0dc677cf6a,0039,"Tue, 07 Aug 2018 04:24:45 GMT","Tue, 07 Aug 2018 05:14:24 GMT","Tue, 07 Aug 2018 05:14:19 GMT",5.017,2_39_139_28_2018-08-07 04:24:44.753665,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc93121f9af8b0dc677cf6b,0039,"Tue, 07 Aug 2018 05:15:07 GMT","Tue, 07 Aug 2018 15:25:27 GMT","Tue, 07 Aug 2018 07:17:47 GMT",13.197,2_39_79_382_2018-08-07 05:15:06.591732,0002,CA-491,2-39-79-382,America/Los_Angeles,,
5bc93121f9af8b0dc677cf6c,0039,"Tue, 07 Aug 2018 05:40:35 GMT","Tue, 07 Aug 2018 16:37:24 GMT","Tue, 07 Aug 2018 15:40:26 GMT",13.195,2_39_78_363_2018-08-07 05:40:35.004270,0002,CA-320,2-39-78-363,America/Los_Angeles,,
5bc93121f9af8b0dc677cf6d,0039,"Tue, 07 Aug 2018 05:42:01 GMT","Tue, 07 Aug 2018 07:51:47 GMT","Tue, 07 Aug 2018 07:51:43 GMT",7.427,2_39_79_380_2018-08-07 05:42:00.561179,0002,CA-489,2-39-79-380,America/Los_Angeles,,
5bc93121f9af8b0dc677cf6e,0039,"Tue, 07 Aug 2018 06:35:47 GMT","Tue, 07 Aug 2018 10:44:23 GMT","Tue, 07 Aug 2018 07:25:34 GMT",2.183,2_39_79_381_2018-08-07 06:35:47.471036,0002,CA-490,2-39-79-381,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf6f,0039,"Tue, 07 Aug 2018 11:46:27 GMT","Tue, 07 Aug 2018 20:08:06 GMT","Tue, 07 Aug 2018 19:46:33 GMT",12.412,2_39_79_383_2018-08-07 11:46:27.102052,0002,CA-492,2-39-79-383,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf70,0039,"Tue, 07 Aug 2018 12:58:25 GMT","Tue, 07 Aug 2018 14:44:21 GMT","Tue, 07 Aug 2018 14:44:18 GMT",7.064,2_39_139_28_2018-08-07 12:58:24.519976,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf71,0039,"Tue, 07 Aug 2018 13:18:22 GMT","Wed, 08 Aug 2018 02:33:41 GMT","Tue, 07 Aug 2018 22:15:03 GMT",12.171,2_39_95_27_2018-08-07 13:18:21.905339,0002,CA-319,2-39-95-27,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf72,0039,"Tue, 07 Aug 2018 14:01:55 GMT","Wed, 08 Aug 2018 02:34:42 GMT","Wed, 08 Aug 2018 01:37:03 GMT",13.59703277777778,2_39_79_378_2018-08-07 14:01:55.359852,0002,CA-326,2-39-79-378,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf73,0039,"Tue, 07 Aug 2018 14:04:39 GMT","Wed, 08 Aug 2018 02:35:45 GMT","Tue, 07 Aug 2018 17:41:39 GMT",13.894,2_39_91_441_2018-08-07 14:04:39.028084,0002,CA-499,2-39-91-441,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf74,0039,"Tue, 07 Aug 2018 14:27:49 GMT","Tue, 07 Aug 2018 19:43:40 GMT","Tue, 07 Aug 2018 16:46:00 GMT",6.367,2_39_79_381_2018-08-07 14:27:48.933914,0002,CA-490,2-39-79-381,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf75,0039,"Tue, 07 Aug 2018 14:31:18 GMT","Wed, 08 Aug 2018 00:56:31 GMT","Wed, 08 Aug 2018 00:09:16 GMT",4.395,2_39_138_29_2018-08-07 14:31:18.149262,0002,CA-304,2-39-138-29,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf76,0039,"Tue, 07 Aug 2018 14:50:40 GMT","Tue, 07 Aug 2018 18:45:09 GMT","Tue, 07 Aug 2018 18:46:07 GMT",13.725,2_39_89_439_2018-08-07 14:50:40.216048,0002,CA-501,2-39-89-439,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf77,0039,"Tue, 07 Aug 2018 14:52:57 GMT","Tue, 07 Aug 2018 19:05:23 GMT","Tue, 07 Aug 2018 18:55:27 GMT",13.897,2_39_130_31_2018-08-07 14:52:57.141554,0002,CA-306,2-39-130-31,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf78,0039,"Tue, 07 Aug 2018 14:57:58 GMT","Wed, 08 Aug 2018 02:57:30 GMT","Wed, 08 Aug 2018 02:58:30 GMT",4.674,2_39_78_362_2018-08-07 14:57:58.474743,0002,CA-496,2-39-78-362,America/Los_Angeles,,
5bc9317cf9af8b0dc677cf79,0039,"Tue, 07 Aug 2018 15:09:24 GMT","Tue, 07 Aug 2018 17:27:32 GMT","Tue, 07 Aug 2018 16:07:59 GMT",1.791,2_39_138_566_2018-08-07 15:09:23.916057,0002,CA-512,2-39-138-566,America/Los_Angeles,,
